,Date,Tweet
48,2020-01-01 07:01:01,\u80f8\u677f\u3067\u7b11\u3063\u3066\u3057\u307e\u3063\u305f\u3002\n\u672b\u6c38\u304f\u304a\u5e78\u305b\u306b\uff01\uff01
49,2020-01-01 07:01:01,RT @suzumocha: \u7a81\u5982\u73fe\u308c\u305f\u304a\u5e74\u7389\u30d7\u30ec\u30bc\u30f3\u30c8\u4f01\u753b\uff01\uff01\uff01\uff01\uff01(*\uff07\u2207\uff07)\n\n1500\u5186\u5206\u309213\u4eba\u306b\uff01\n3000\u5186\u5206\u30923\u4eba\u306b\uff01\n7777\u5186\u5206\u30921\u4eba\u306b\uff01\n\n\u5fdc\u52df\u65b9\u6cd5\n1.\u30d5\u30a9\u30ed\u30fc\u306f\u3057\u306a\u304f\u3066\u3044\u3044\u306e\u3067DM\u306e\u89e3\u653e\u3092\n2.\u3053\u306e\u30c4\u30a4\u30fc\u30c8\u3092RT\uff01\n3.\u30c1\u30e3\u30f3\u30cd\u30eb\u767b\u9332(https:\/\/\u2026
50,2020-01-01 07:01:01,\u2606\u81ea\u52d5\u653e\u9001\u2606\n\u26a0\ufe0f\u55b6\u696d\u76ee\u7684\u3067\u306e\u30e1\u30c7\u30a3\u30a2\u306e\u7121\u65ad\u4f7f\u7528\u3092\u7981\u6b62\u3057\u3066\u304a\u308a\u307e\u3059\u3002(\u7279\u306bTV\u5c40\u95a2\u9023\u306b\u3064\u3044\u3066\u306f\u53b3\u6b63\u306a\u51e6\u7f6e\u3092\u53d6\u3089\u305b\u3066\u3044\u305f\u3060\u304d\u307e\u3059)\n\u5c1a\u3001\u4fdd\u5b58\u3059\u308b\u3053\u3068\u306f\u53ef\u80fd\u3067\u3059\u3002(\u305d\u306e\u969b\u3001\u4e00\u8a00\u304a\u4f1d\u3048\u9802\u3051\u308c\u3070\u3042\u308a\u304c\u305f\u3044\u3067\u3059)\n\u7686\u69d8\u306e\u3054\u5354\u529b\u3092\u304a\u9858\u3044\u3057\u307e\u3059
51,2020-01-01 07:01:01,RT @emiliapesqueira: [2020]\nme quedo con los que abrac\u00e9 \ny dejo ir a los que me ven pero ya no me miran.
52,2020-01-01 07:01:01,\u90e8\u6d3b\u306e\u6642\u9593\u3060\u306a\u3001\u795e\u7ae5\u3001\u4eca\u65e5\u306e\u30e1\u30cb\u30e5\u30fc\u306f\u306a\u3093\u3060\uff1f\u7d05\u767d\u6226\u306e\u8a66\u5408\u5f62\u5f0f\u304b\u3001\u697d\u3057\u305d\u3046\u3060\u306a\uff01\u2026\u5357\u6ca2\u3055\u3093\u3082\u5c45\u308c\u3070\u3082\u3063\u3068\u697d\u3057\u304b\u3063\u305f\u3060\u308d\u3046\u306a\u2026\u307c\u305d
53,2020-01-01 07:01:01,@minorin0809884 \u3042\u3051\u307e\u3057\u3066\u304a\u3081\u3067\u3068\u3046\u3054\u3056\u3044\u307e\u3059\ud83d\udc00\u4eca\u5e74\u3082\u5b9c\u3057\u304f\u304a\u9858\u3044\u81f4\u3057\u307e\u3059\ud83e\udd13
54,2020-01-01 07:01:01,\u3067\u3082\u3001\u672c\u5f53\u306b\u5fd8\u308c\u3061\u3083\u3063\u305f\u3068\u304b\u2026\u2026\u6625\u3068\u304b\u79cb\u306f\u3042\u308a\u304c\u3061\u3060\u3082\u306e
55,2020-01-01 07:01:01,happy new year i\u2019m gonna chug my drink
56,2020-01-01 07:01:01,RT @QueSucedeEnMty: Accidente en av. Revoluci\u00f3n en el semaforo debajo del puente solidaridad. @Cicmty @MtyFollow
57,2020-01-01 07:01:01,mvp\u3069\u3046\u305e\u3001\u9ebb\u75fa\u5ef6\u9577\u9632\u5fa1\u30c0\u30a6\u30f3\u30d6\u30ea\u30b6\u30fc\u30c9\u3042\u308aaa 5751F2AD :Battle ID\nI need backup!\nLvl 150 Proto Bahamut\nhttps:\/\/t.co\/fmYUE7z2tg
